month,source,demand,x_hm3,delivered_hm3,cost_USD,benefit_USD
May,Santa,S4,8.275955,7.3656,205409.21,182814.19
Jun,Santa,PTAP_Trujillo,3.05856,3.05856,75913.46,88438.26
Nov,Santa,S2,2.504629,2.22912,62164.9,55326.76
Ene,Dren_Chao,Chao,1.419552,0.425866,2548.52,764.56
Oct,Santa,PTAP_Chao,0.107136,0.107136,2659.12,3097.84
Jun,Santa,S2,2.155146,1.91808,53490.73,47606.75
Dic,Santa,S4,9.299164,8.276256,230805.25,205416.67
May,Viru_Rio,Viru,1.526688,0.458006,2753.84,826.15
Sep,Chorobal,Chao,0.0,0.0,0.0,0.0
Jun,Santa,PTAP_Chao,0.10368,0.10368,2573.34,2997.91
Nov,Dren_Viru,Viru,1.6848,0.50544,3039.04,911.71
Mar,Viru_Rio,Viru,5.383584,1.615075,9710.91,2913.27
Sep,Santa,S1,8.707955,7.75008,216131.45,192356.99
Jun,Dren_Viru,Viru,1.60704,0.482112,2898.78,869.63
Ago,Santa,S1,8.697276,7.740576,215866.4,192121.1
Sep,Pozos_Chao,Chao,0.69984,0.209952,43047.16,376.93
May,Santa,Pecuario,1.60704,1.60704,39886.73,39886.73
Jul,Dren_Viru,Viru,1.526688,0.458006,2753.84,826.15
Ago,Santa,S3,5.3568,4.767552,132955.78,118330.64
Sep,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Sep,Santa,Viru,2.029623,0.608887,50375.25,1098.31
Feb,Santa,PTAP_Trujillo,2.757888,2.757888,68450.78,79744.33
Dic,Santa,Pecuario,1.60704,1.60704,39886.73,39886.73
Dic,Santa,Chao,0.0,0.0,0.0,0.0
Ago,Santa,S4,6.018876,5.3568,149388.51,132955.78
Nov,Santa,S4,8.678831,7.72416,215408.6,191713.65
Feb,Santa,S2,2.55511,2.274048,63417.83,56441.87
May,Chorobal,Chao,0.0,0.0,0.0,0.0
Jul,Santa,S3,5.326706,4.740768,132208.83,117665.86
Jun,Santa,S4,7.45564,6.63552,185048.99,164693.61
Feb,Santa,PTAP_Chao,0.096768,0.096768,2401.78,2798.05
Sep,Santa,Industria,1.296,1.296,32166.72,32166.72
Mar,Dren_Viru,Viru,1.687392,0.506218,3043.72,913.12
May,Santa,S1,11.977564,10.660032,297283.14,264581.99
Oct,Viru_Rio,Viru,0.0,0.0,0.0,0.0
Sep,Pozos_Viru,Viru,0.648,0.1944,39858.48,350.66
Ago,Santa,Industria,1.3392,1.3392,33238.94,33238.94
Nov,Viru_Rio,Viru,0.0,0.0,0.0,0.0
Feb,Dren_Viru,Viru,1.69344,0.508032,3054.63,916.39
Jul,Santa,S4,5.988782,5.330016,148641.57,132291.0
Dic,Chorobal,Chao,0.0,0.0,0.0,0.0
Ago,Pozos_Viru,Viru,0.589248,0.176774,36244.64,318.87
Jun,Viru_Rio,Viru,0.18144,0.054432,327.28,98.18
May,Santa,S3,7.373124,6.56208,183000.93,162870.83
Dic,Santa,S1,13.452189,11.972448,333883.33,297156.16
Mar,Santa,S3,8.336144,7.419168,206903.09,184143.75
Abr,Santa,PTAP_Trujillo,2.87712,2.87712,71410.12,83191.92
Abr,Dren_Chao,Chao,1.32192,0.396576,2373.24,711.97
Ago,Santa,Pecuario,1.60704,1.60704,39886.73,39886.73
May,Santa,Viru,7.627421,2.288226,189312.59,4127.5
Dic,Pozos_Chao,Chao,0.0,0.0,0.0,0.0
Ago,Santa,Chao,0.0,0.0,0.0,0.0
Oct,Santa,S2,2.076512,1.848096,51539.04,45869.74
Abr,Santa,S2,2.592,2.30688,64333.44,57256.76
Dic,Santa,S3,8.275955,7.3656,205409.21,182814.19
Mar,Santa,S4,9.359353,8.329824,232299.14,206746.23
Ene,Santa,PTAP_Trujillo,3.267648,3.267648,81103.02,94484.04
Dic,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Abr,Santa,PTAP_Chao,0.10368,0.10368,2573.34,2997.91
Dic,Santa,Viru,10.94322,3.282966,271610.72,5921.81
May,Santa,Industria,1.3392,1.3392,33238.94,33238.94
Jul,Santa,Pecuario,1.60704,1.60704,39886.73,39886.73
Ene,Santa,S2,2.768683,2.464128,68718.71,61159.66
Feb,Santa,S4,8.888521,7.910784,220613.1,196345.66
Oct,Dren_Viru,Viru,1.419552,0.425866,2560.59,768.18
Jul,Santa,Chao,0.0,0.0,0.0,0.0
Abr,Dren_Viru,Viru,1.78848,0.536544,3226.06,967.82
May,Pozos_Viru,Viru,0.0,0.0,0.0,0.0
Ene,Santa,PTAP_Chao,0.107136,0.107136,2659.12,3097.84
Ago,Chorobal,Chao,0.0,0.0,0.0,0.0
Nov,Chorobal,Chao,0.0,0.0,0.0,0.0
Nov,Santa,S1,12.55227,11.17152,311547.34,277277.13
Dic,Santa,Industria,1.3392,1.3392,33238.94,33238.94
Jun,Chorobal,Chao,0.0,0.0,0.0,0.0
Feb,Viru_Rio,Viru,2.78208,0.834624,5018.32,1505.49
Ene,Dren_Viru,Viru,1.633824,0.490147,2947.09,884.13
Dic,Pozos_Viru,Viru,0.508896,0.152669,31302.19,275.38
Jun,Santa,S1,10.77573,9.5904,267453.62,238033.72
May,Santa,Chao,0.0,0.0,0.0,0.0
Ago,Pozos_Chao,Chao,0.589248,0.176774,36244.64,317.36
Mar,Santa,Pecuario,1.60704,1.60704,39886.73,39886.73
Jul,Chorobal,Chao,0.0,0.0,0.0,0.0
Nov,Santa,S3,7.717753,6.8688,191554.62,170483.62
Mar,Santa,Chao,0.0,0.0,0.0,0.0
Jul,Santa,S1,8.667182,7.713792,215119.46,191456.32
Ago,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Jun,Santa,S3,6.611056,5.88384,164086.41,146036.91
Ago,Santa,Viru,4.054917,1.216475,100643.04,2194.28
Nov,Santa,Viru,9.318677,2.795603,231289.56,5042.71
Oct,Santa,S4,7.192557,6.401376,178519.27,158882.15
Jul,Pozos_Chao,Chao,0.508896,0.152669,31302.19,274.09
Jun,Santa,Viru,5.609787,1.682936,139234.91,3035.68
Sep,Santa,PTAP_Trujillo,3.1104,3.1104,77200.13,89937.22
Sep,Dren_Chao,Chao,2.43648,0.730944,4374.21,1312.26
Mar,Chorobal,Chao,0.0,0.0,0.0,0.0
Ene,Santa,S4,9.570013,8.517312,237527.74,211399.68
Jul,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Abr,Viru_Rio,Viru,4.89888,1.469664,8836.6,2650.98
Nov,Santa,Industria,1.296,1.296,32166.72,32166.72
